[2026-01-25T14:50:45.169Z] Context compaction triggered
[2026-01-25 23:59:12] Context compaction triggered
[2026-01-26 00:01:31] Context compaction triggered
[2026-01-26 00:08:51] Context compaction triggered
[2026-01-26 00:09:00] Context compaction triggered
[2026-01-26 00:10:51] Context compaction triggered
[2026-01-26 00:14:19] Context compaction triggered
[2026-01-26 00:16:49] Context compaction triggered
[2026-01-26 00:20:44] Context compaction triggered
[2026-01-26 01:44:15] Context compaction triggered
[2026-01-26 01:47:50] Context compaction triggered
[2026-01-26 01:51:21] Context compaction triggered
[2026-01-26 01:53:19] Context compaction triggered
[2026-01-26 01:54:01] Context compaction triggered
